image_id,image_path,pcb_type,components_density,layer_count,quality_check_required,certification_needed,defect_type,intended_application,material_type,special_features
PCB001,dataset/single_sided/PCB001.jpg,single_sided,low,1,basic,CE,none,consumer_electronics,FR-4,none
PCB002,dataset/single_sided/PCB002.jpg,single_sided,medium,1,enhanced,CE;RoHS,solder_bridge,consumer_electronics,FR-4,none
PCB003,dataset/single_sided/PCB003.jpg,single_sided,low,1,basic,CE,open_circuit,toys,FR-4,none
PCB004,dataset/double_sided/PCB004.jpg,double_sided,medium,2,enhanced,CE;RoHS;UL,none,industrial_control,FR-4,none
PCB005,dataset/double_sided/PCB005.jpg,double_sided,high,2,comprehensive,CE;RoHS;UL;FCC,solder_quality,medical_non_critical,FR-4,none
PCB006,dataset/double_sided/PCB006.jpg,double_sided,medium,2,enhanced,CE;RoHS,copper_exposure,consumer_electronics,FR-4,none
PCB007,dataset/multilayer/PCB007.jpg,multilayer,high,4,comprehensive,CE;RoHS;UL;FCC,none,telecommunications,FR-4,impedance_control
PCB008,dataset/multilayer/PCB008.jpg,multilayer,very_high,6,comprehensive,CE;RoHS;UL;FCC;ISO9001,layer_misalignment,medical_critical,FR-4,impedance_control
PCB009,dataset/multilayer/PCB009.jpg,multilayer,high,4,comprehensive,CE;RoHS;UL;FCC,via_quality,computing,FR-4,none
PCB010,dataset/flexible/PCB010.jpg,flexible,medium,2,enhanced,CE;RoHS;UL,none,wearables,Polyimide,flex_durability
PCB011,dataset/flexible/PCB011.jpg,flexible,high,2,comprehensive,CE;RoHS;UL;ISO9001,delamination,medical_wearable,Polyimide,flex_durability
PCB012,dataset/flexible/PCB012.jpg,flexible,medium,2,enhanced,CE;RoHS;UL,trace_break,consumer_electronics,Polyimide,flex_durability
PCB013,dataset/rigid_flex/PCB013.jpg,rigid_flex,high,4,comprehensive,CE;RoHS;UL;DO-254,none,aerospace,Polyimide;FR-4,flex_durability;impedance_control
PCB014,dataset/rigid_flex/PCB014.jpg,rigid_flex,very_high,6,comprehensive,CE;RoHS;UL;ISO13485,transition_integrity,medical_implantable,Polyimide;FR-4,flex_durability;impedance_control
PCB015,dataset/rigid_flex/PCB015.jpg,rigid_flex,high,4,comprehensive,CE;RoHS;UL;MIL-STD-883,delamination,military,Polyimide;FR-4,flex_durability;ruggedized
PCB016,dataset/high_frequency/PCB016.jpg,high_frequency,medium,2,enhanced,CE;RoHS;UL;FCC,none,telecommunications,PTFE,impedance_control
PCB017,dataset/high_frequency/PCB017.jpg,high_frequency,high,4,comprehensive,CE;RoHS;UL;FCC,impedance_issues,radar_systems,PTFE;Ceramic,impedance_control;thermal_management
PCB018,dataset/high_frequency/PCB018.jpg,high_frequency,high,6,comprehensive,CE;RoHS;UL;FCC;MIL-STD-883,trace_width_issues,military_communications,PTFE;Ceramic,impedance_control;ruggedized
PCB019,dataset/high_power/PCB019.jpg,high_power,medium,2,enhanced,CE;RoHS;UL,none,power_supply,FR-4;Aluminum,thermal_management
PCB020,dataset/high_power/PCB020.jpg,high_power,high,4,comprehensive,CE;RoHS;UL;IEC60950,thermal_issues,industrial_power,FR-4;Copper,thermal_management
PCB021,dataset/high_power/PCB021.jpg,high_power,high,2,comprehensive,CE;RoHS;UL;ISO9001,current_capacity_issues,automotive,FR-4;Copper,thermal_management;ruggedized
PCB022,dataset/single_sided/PCB022.jpg,single_sided,low,1,basic,CE,component_misalignment,toys,FR-4,none
PCB023,dataset/double_sided/PCB023.jpg,double_sided,high,2,enhanced,CE;RoHS;UL,none,industrial_control,FR-4,conformal_coating
PCB024,dataset/multilayer/PCB024.jpg,multilayer,very_high,8,comprehensive,CE;RoHS;UL;FCC;IATF16949,none,automotive_safety,FR-4,ruggedized;impedance_control
PCB025,dataset/flexible/PCB025.jpg,flexible,low,1,basic,CE;RoHS,crease_damage,simple_wearables,Polyimide,flex_durability
PCB026,dataset/rigid_flex/PCB026.jpg,rigid_flex,medium,3,enhanced,CE;RoHS;UL,none,consumer_electronics,Polyimide;FR-4,flex_durability
PCB027,dataset/high_frequency/PCB027.jpg,high_frequency,very_high,8,comprehensive,CE;RoHS;UL;FCC;ISO9001,none,5G_equipment,PTFE;Ceramic,impedance_control;EMI_shielding
PCB028,dataset/high_power/PCB028.jpg,high_power,medium,2,enhanced,CE;RoHS;UL,copper_thickness_issues,LED_lighting,FR-4;Copper,thermal_management
PCB029,dataset/multilayer/PCB029.jpg,multilayer,high,6,comprehensive,CE;RoHS;UL;IPC-A-610,solder_mask_defect,industrial_automation,FR-4,conformal_coating
PCB030,dataset/double_sided/PCB030.jpg,double_sided,low,2,basic,CE;RoHS,none,consumer_electronics,FR-4,none
